key,locale,value,type,section,parent
gym.catalog.exercise.supino_reto_com_halteres,pt,Supino reto com halteres,text,Exercícios,
gym.catalog.exercise.supino_reto_com_halteres,en,Flat dumbbell press,text,Exercícios,
gym.catalog.exercise.crucifixo_com_halteres,pt,Crucifixo com halteres,text,Exercícios,
gym.catalog.exercise.crucifixo_com_halteres,en,Dumbbell fly,text,Exercícios,
gym.catalog.exercise.peck_deck,pt,Peck deck,text,Exercícios,
gym.catalog.exercise.peck_deck,en,Pec deck,text,Exercícios,
gym.catalog.exercise.flexoes,pt,Flexões,text,Exercícios,
gym.catalog.exercise.flexoes,en,Push-ups,text,Exercícios,
gym.catalog.exercise.supino_na_maquina,pt,Supino na máquina,text,Exercícios,
gym.catalog.exercise.supino_na_maquina,en,Machine chest press,text,Exercícios,
gym.catalog.exercise.supino_declinado_com_barra,pt,Supino declinado com barra,text,Exercícios,
gym.catalog.exercise.supino_declinado_com_barra,en,Decline barbell press,text,Exercícios,
gym.catalog.exercise.supino_declinado_com_halteres,pt,Supino declinado com halteres,text,Exercícios,
gym.catalog.exercise.supino_declinado_com_halteres,en,Decline dumbbell press,text,Exercícios,
gym.catalog.exercise.mergulho_para_peito,pt,Mergulho para peito,text,Exercícios,
gym.catalog.exercise.mergulho_para_peito,en,Chest dip,text,Exercícios,
gym.catalog.exercise.crossover_de_cima_para_baixo,pt,Crossover de cima para baixo,text,Exercícios,
gym.catalog.exercise.crossover_de_cima_para_baixo,en,High-to-low cable crossover,text,Exercícios,
gym.catalog.exercise.crossover_na_polia,pt,Crossover na polia,text,Exercícios,
gym.catalog.exercise.crossover_na_polia,en,Cable crossover,text,Exercícios,
gym.catalog.exercise.crucifixo_na_polia,pt,Crucifixo na polia,text,Exercícios,
gym.catalog.exercise.crucifixo_na_polia,en,Cable fly,text,Exercícios,
gym.catalog.exercise.supino_com_aperto,pt,Supino com aperto,text,Exercícios,
gym.catalog.exercise.supino_com_aperto,en,Squeeze press,text,Exercícios,
gym.catalog.exercise.puxada_frontal,pt,Puxada frontal,text,Exercícios,
gym.catalog.exercise.puxada_frontal,en,Lat pulldown,text,Exercícios,
gym.catalog.exercise.puxada_frontal_pegada_fechada,pt,Puxada frontal pegada fechada,text,Exercícios,
gym.catalog.exercise.puxada_frontal_pegada_fechada,en,Close-grip lat pulldown,text,Exercícios,
gym.catalog.exercise.puxada_atras_da_nuca,pt,Puxada atrás da nuca,text,Exercícios,
gym.catalog.exercise.puxada_atras_da_nuca,en,Behind-the-neck pulldown,text,Exercícios,
gym.catalog.exercise.barra_fixa,pt,Barra fixa,text,Exercícios,
gym.catalog.exercise.barra_fixa,en,Pull-up,text,Exercícios,
gym.catalog.exercise.barra_fixa_pegada_supinada,pt,Barra fixa pegada supinada,text,Exercícios,
gym.catalog.exercise.barra_fixa_pegada_supinada,en,Chin-up,text,Exercícios,
gym.catalog.exercise.pullover_com_haltere,pt,Pullover com haltere,text,Exercícios,
gym.catalog.exercise.pullover_com_haltere,en,Dumbbell pullover,text,Exercícios,
gym.catalog.exercise.puxada_com_bracos_esticados,pt,Puxada com braços esticados,text,Exercícios,
gym.catalog.exercise.puxada_com_bracos_esticados,en,Straight-arm pulldown,text,Exercícios,
gym.catalog.exercise.remada_curvada_com_barra,pt,Remada curvada com barra,text,Exercícios,
gym.catalog.exercise.remada_curvada_com_barra,en,Bent-over barbell row,text,Exercícios,
gym.catalog.exercise.remada_baixa_na_polia,pt,Remada baixa na polia,text,Exercícios,
gym.catalog.exercise.remada_baixa_na_polia,en,Seated cable row,text,Exercícios,
gym.catalog.exercise.remada_unilateral_com_haltere,pt,Remada unilateral com haltere,text,Exercícios,
gym.catalog.exercise.remada_unilateral_com_haltere,en,One-arm dumbbell row,text,Exercícios,
gym.catalog.exercise.remada_na_maquina,pt,Remada na máquina,text,Exercícios,
gym.catalog.exercise.remada_na_maquina,en,Machine row,text,Exercícios,
gym.catalog.exercise.remada_t,pt,Remada T,text,Exercícios,
gym.catalog.exercise.remada_t,en,T-bar row,text,Exercícios,
gym.catalog.exercise.remada_pendlay,pt,Remada Pendlay,text,Exercícios,
gym.catalog.exercise.remada_pendlay,en,Pendlay row,text,Exercícios,
gym.catalog.exercise.remada_invertida,pt,Remada invertida,text,Exercícios,
gym.catalog.exercise.remada_invertida,en,Inverted row,text,Exercícios,
gym.catalog.exercise.levantamento_terra,pt,Levantamento terra,text,Exercícios,
gym.catalog.exercise.levantamento_terra,en,Deadlift,text,Exercícios,
gym.catalog.exercise.hiperextensao_lombar,pt,Hiperextensão lombar,text,Exercícios,
gym.catalog.exercise.hiperextensao_lombar,en,Back extension,text,Exercícios,
gym.catalog.exercise.bom_dia,pt,Bom dia,text,Exercícios,
gym.catalog.exercise.bom_dia,en,Good morning,text,Exercícios,
gym.catalog.exercise.superman,pt,Superman,text,Exercícios,
gym.catalog.exercise.superman,en,Superman,text,Exercícios,
gym.catalog.exercise.encolhimento_com_barra,pt,Encolhimento com barra,text,Exercícios,
gym.catalog.exercise.encolhimento_com_barra,en,Barbell shrug,text,Exercícios,
gym.catalog.exercise.encolhimento_com_halteres,pt,Encolhimento com halteres,text,Exercícios,
gym.catalog.exercise.encolhimento_com_halteres,en,Dumbbell shrug,text,Exercícios,
gym.catalog.exercise.remada_alta,pt,Remada alta,text,Exercícios,
gym.catalog.exercise.remada_alta,en,Upright row,text,Exercícios,
gym.catalog.exercise.encolhimento_na_smith,pt,Encolhimento na Smith,text,Exercícios,
gym.catalog.exercise.encolhimento_na_smith,en,Smith machine shrug,text,Exercícios,
gym.catalog.exercise.desenvolvimento_militar_com_barra,pt,Desenvolvimento militar com barra,text,Exercícios,
gym.catalog.exercise.desenvolvimento_militar_com_barra,en,Barbell overhead press,text,Exercícios,
gym.catalog.exercise.desenvolvimento_com_halteres,pt,Desenvolvimento com halteres,text,Exercícios,
gym.catalog.exercise.desenvolvimento_com_halteres,en,Dumbbell shoulder press,text,Exercícios,
gym.catalog.exercise.arnold_press,pt,Arnold press,text,Exercícios,
gym.catalog.exercise.arnold_press,en,Arnold press,text,Exercícios,
gym.catalog.exercise.elevacao_frontal_com_halteres,pt,Elevação frontal com halteres,text,Exercícios,
gym.catalog.exercise.elevacao_frontal_com_halteres,en,Dumbbell front raise,text,Exercícios,
gym.catalog.exercise.elevacao_frontal_com_barra,pt,Elevação frontal com barra,text,Exercícios,
gym.catalog.exercise.elevacao_frontal_com_barra,en,Barbell front raise,text,Exercícios,
gym.catalog.exercise.desenvolvimento_na_maquina,pt,Desenvolvimento na máquina,text,Exercícios,
gym.catalog.exercise.desenvolvimento_na_maquina,en,Machine shoulder press,text,Exercícios,
gym.catalog.exercise.elevacao_lateral_com_halteres,pt,Elevação lateral com halteres,text,Exercícios,
gym.catalog.exercise.elevacao_lateral_com_halteres,en,Dumbbell lateral raise,text,Exercícios,
gym.catalog.exercise.elevacao_lateral_na_polia,pt,Elevação lateral na polia,text,Exercícios,
gym.catalog.exercise.elevacao_lateral_na_polia,en,Cable lateral raise,text,Exercícios,
gym.catalog.exercise.elevacao_lateral_na_maquina,pt,Elevação lateral na máquina,text,Exercícios,
gym.catalog.exercise.elevacao_lateral_na_maquina,en,Machine lateral raise,text,Exercícios,
gym.catalog.exercise.crucifixo_invertido_com_halteres,pt,Crucifixo invertido com halteres,text,Exercícios,
gym.catalog.exercise.crucifixo_invertido_com_halteres,en,Dumbbell reverse fly,text,Exercícios,
gym.catalog.exercise.crucifixo_invertido_na_polia,pt,Crucifixo invertido na polia,text,Exercícios,
gym.catalog.exercise.crucifixo_invertido_na_polia,en,Cable reverse fly,text,Exercícios,
gym.catalog.exercise.crucifixo_invertido_na_maquina,pt,Crucifixo invertido na máquina,text,Exercícios,
gym.catalog.exercise.crucifixo_invertido_na_maquina,en,Reverse pec deck,text,Exercícios,
gym.catalog.exercise.face_pull,pt,Face pull,text,Exercícios,
gym.catalog.exercise.face_pull,en,Face pull,text,Exercícios,
gym.catalog.exercise.rotacao_externa_na_polia,pt,Rotação externa na polia,text,Exercícios,
gym.catalog.exercise.rotacao_externa_na_polia,en,Cable external rotation,text,Exercícios,
gym.catalog.exercise.rotacao_interna_na_polia,pt,Rotação interna na polia,text,Exercícios,
gym.catalog.exercise.rotacao_interna_na_polia,en,Cable internal rotation,text,Exercícios,
gym.catalog.exercise.rosca_inclinada_com_halteres,pt,Rosca inclinada com halteres,text,Exercícios,
gym.catalog.exercise.rosca_inclinada_com_halteres,en,Incline dumbbell curl,text,Exercícios,
gym.catalog.exercise.rosca_direta_com_barra,pt,Rosca direta com barra,text,Exercícios,
gym.catalog.exercise.rosca_direta_com_barra,en,Standing barbell curl,text,Exercícios,
gym.catalog.exercise.rosca_na_polia_em_pe,pt,Rosca na polia em pé,text,Exercícios,
gym.catalog.exercise.rosca_na_polia_em_pe,en,Standing cable curl,text,Exercícios,
gym.catalog.exercise.rosca_scott,pt,Rosca Scott,text,Exercícios,
gym.catalog.exercise.rosca_scott,en,Preacher curl,text,Exercícios,
gym.catalog.exercise.rosca_concentrada,pt,Rosca concentrada,text,Exercícios,
gym.catalog.exercise.rosca_concentrada,en,Concentration curl,text,Exercícios,
gym.catalog.exercise.rosca_aranha,pt,Rosca aranha,text,Exercícios,
gym.catalog.exercise.rosca_aranha,en,Spider curl,text,Exercícios,
gym.catalog.exercise.rosca_alternada_com_halteres,pt,Rosca alternada com halteres,text,Exercícios,
gym.catalog.exercise.rosca_alternada_com_halteres,en,Alternating dumbbell curl,text,Exercícios,
gym.catalog.exercise.rosca_martelo,pt,Rosca martelo,text,Exercícios,
gym.catalog.exercise.rosca_martelo,en,Hammer curl,text,Exercícios,
gym.catalog.exercise.rosca_inversa,pt,Rosca inversa,text,Exercícios,
gym.catalog.exercise.rosca_inversa,en,Reverse curl,text,Exercícios,
gym.catalog.exercise.rosca_martelo_na_corda,pt,Rosca martelo na corda,text,Exercícios,
gym.catalog.exercise.rosca_martelo_na_corda,en,Rope hammer curl,text,Exercícios,
gym.catalog.exercise.rosca_de_punho,pt,Rosca de punho,text,Exercícios,
gym.catalog.exercise.rosca_de_punho,en,Wrist curl,text,Exercícios,
gym.catalog.exercise.rosca_de_punho_inversa,pt,Rosca de punho inversa,text,Exercícios,
gym.catalog.exercise.rosca_de_punho_inversa,en,Reverse wrist curl,text,Exercícios,
gym.catalog.exercise.caminhada_do_agricultor,pt,Caminhada do agricultor,text,Exercícios,
gym.catalog.exercise.caminhada_do_agricultor,en,Farmer's walk,text,Exercícios,
gym.catalog.exercise.triceps_frances_com_halteres,pt,Tríceps francês com halteres,text,Exercícios,
gym.catalog.exercise.triceps_frances_com_halteres,en,Overhead dumbbell extension,text,Exercícios,
gym.catalog.exercise.triceps_testa_com_barra_ez,pt,Tríceps testa com barra EZ,text,Exercícios,
gym.catalog.exercise.triceps_testa_com_barra_ez,en,EZ-bar skull crusher,text,Exercícios,
gym.catalog.exercise.triceps_na_corda_acima_da_cabeca,pt,Tríceps na corda acima da cabeça,text,Exercícios,
gym.catalog.exercise.triceps_na_corda_acima_da_cabeca,en,Overhead rope extension,text,Exercícios,
gym.catalog.exercise.triceps_na_polia_com_barra,pt,Tríceps na polia com barra,text,Exercícios,
gym.catalog.exercise.triceps_na_polia_com_barra,en,Triceps pushdown,text,Exercícios,
gym.catalog.exercise.triceps_na_corda,pt,Tríceps na corda,text,Exercícios,
gym.catalog.exercise.triceps_na_corda,en,Rope pushdown,text,Exercícios,
gym.catalog.exercise.triceps_coice,pt,Tríceps coice,text,Exercícios,
gym.catalog.exercise.triceps_coice,en,Triceps kickback,text,Exercícios,
gym.catalog.exercise.mergulho_em_paralelas,pt,Mergulho em paralelas,text,Exercícios,
gym.catalog.exercise.mergulho_em_paralelas,en,Parallel bar dip,text,Exercícios,
gym.catalog.exercise.supino_fechado,pt,Supino fechado,text,Exercícios,
gym.catalog.exercise.supino_fechado,en,Close-grip bench press,text,Exercícios,
gym.catalog.exercise.triceps_pegada_invertida,pt,Tríceps pegada invertida,text,Exercícios,
gym.catalog.exercise.triceps_pegada_invertida,en,Reverse-grip pushdown,text,Exercícios,
gym.catalog.exercise.flexao_diamante,pt,Flexão diamante,text,Exercícios,
gym.catalog.exercise.flexao_diamante,en,Diamond push-up,text,Exercícios,
gym.catalog.exercise.agachamento_com_barra,pt,Agachamento com barra,text,Exercícios,
gym.catalog.exercise.agachamento_com_barra,en,Barbell back squat,text,Exercícios,
gym.catalog.exercise.agachamento_frontal,pt,Agachamento frontal,text,Exercícios,
gym.catalog.exercise.agachamento_frontal,en,Front squat,text,Exercícios,
gym.catalog.exercise.leg_press,pt,Leg press,text,Exercícios,
gym.catalog.exercise.leg_press,en,Leg press,text,Exercícios,
gym.catalog.exercise.cadeira_extensora,pt,Cadeira extensora,text,Exercícios,
gym.catalog.exercise.cadeira_extensora,en,Leg extension,text,Exercícios,
gym.catalog.exercise.agachamento_hack,pt,Agachamento hack,text,Exercícios,
gym.catalog.exercise.agachamento_hack,en,Hack squat,text,Exercícios,
gym.catalog.exercise.afundo,pt,Afundo,text,Exercícios,
gym.catalog.exercise.afundo,en,Lunge,text,Exercícios,
gym.catalog.exercise.agachamento_bulgaro,pt,Agachamento búlgaro,text,Exercícios,
gym.catalog.exercise.agachamento_bulgaro,en,Bulgarian split squat,text,Exercícios,
gym.catalog.exercise.agachamento_na_smith,pt,Agachamento na Smith,text,Exercícios,
gym.catalog.exercise.agachamento_na_smith,en,Smith machine squat,text,Exercícios,
gym.catalog.exercise.subida_ao_banco,pt,Subida ao banco,text,Exercícios,
gym.catalog.exercise.subida_ao_banco,en,Step-up,text,Exercícios,
gym.catalog.exercise.cadeira_flexora_deitado,pt,Cadeira flexora deitado,text,Exercícios,
gym.catalog.exercise.cadeira_flexora_deitado,en,Lying leg curl,text,Exercícios,
gym.catalog.exercise.mesa_flexora_sentado,pt,Mesa flexora sentado,text,Exercícios,
gym.catalog.exercise.mesa_flexora_sentado,en,Seated leg curl,text,Exercícios,
gym.catalog.exercise.stiff,pt,Stiff,text,Exercícios,
gym.catalog.exercise.stiff,en,Romanian deadlift,text,Exercícios,
gym.catalog.exercise.levantamento_terra_pernas_rigidas,pt,Levantamento terra pernas rígidas,text,Exercícios,
gym.catalog.exercise.levantamento_terra_pernas_rigidas,en,Stiff-leg deadlift,text,Exercícios,
gym.catalog.exercise.flexora_em_pe,pt,Flexora em pé,text,Exercícios,
gym.catalog.exercise.flexora_em_pe,en,Standing leg curl,text,Exercícios,
gym.catalog.exercise.elevacao_de_gemeos_em_pe,pt,Elevação de gémeos em pé,text,Exercícios,
gym.catalog.exercise.elevacao_de_gemeos_em_pe,en,Standing calf raise,text,Exercícios,
gym.catalog.exercise.elevacao_de_gemeos_sentado,pt,Elevação de gémeos sentado,text,Exercícios,
gym.catalog.exercise.elevacao_de_gemeos_sentado,en,Seated calf raise,text,Exercícios,
gym.catalog.exercise.elevacao_de_gemeos_no_leg_press,pt,Elevação de gémeos no leg press,text,Exercícios,
gym.catalog.exercise.elevacao_de_gemeos_no_leg_press,en,Leg press calf raise,text,Exercícios,
gym.catalog.exercise.elevacao_de_gemeos_a_uma_perna,pt,Elevação de gémeos a uma perna,text,Exercícios,
gym.catalog.exercise.elevacao_de_gemeos_a_uma_perna,en,Single-leg calf raise,text,Exercícios,
gym.catalog.exercise.cadeira_adutora,pt,Cadeira adutora,text,Exercícios,
gym.catalog.exercise.cadeira_adutora,en,Hip adduction machine,text,Exercícios,
gym.catalog.exercise.agachamento_sumo,pt,Agachamento sumô,text,Exercícios,
gym.catalog.exercise.agachamento_sumo,en,Sumo squat,text,Exercícios,
gym.catalog.exercise.cadeira_abdutora,pt,Cadeira abdutora,text,Exercícios,
gym.catalog.exercise.cadeira_abdutora,en,Hip abduction machine,text,Exercícios,
gym.catalog.exercise.abducao_de_quadril_na_polia,pt,Abdução de quadril na polia,text,Exercícios,
gym.catalog.exercise.abducao_de_quadril_na_polia,en,Cable hip abduction,text,Exercícios,
gym.catalog.exercise.elevacao_pelvica,pt,Elevação pélvica,text,Exercícios,
gym.catalog.exercise.elevacao_pelvica,en,Hip thrust,text,Exercícios,
gym.catalog.exercise.ponte_de_gluteo,pt,Ponte de glúteo,text,Exercícios,
gym.catalog.exercise.ponte_de_gluteo,en,Glute bridge,text,Exercícios,
gym.catalog.exercise.coice_de_gluteo_na_polia,pt,Coice de glúteo na polia,text,Exercícios,
gym.catalog.exercise.coice_de_gluteo_na_polia,en,Cable glute kickback,text,Exercícios,
gym.catalog.exercise.coice_de_gluteo_na_maquina,pt,Coice de glúteo na máquina,text,Exercícios,
gym.catalog.exercise.coice_de_gluteo_na_maquina,en,Machine glute kickback,text,Exercícios,
gym.catalog.exercise.levantamento_terra_romeno,pt,Levantamento terra romeno,text,Exercícios,
gym.catalog.exercise.levantamento_terra_romeno,en,Romanian deadlift,text,Exercícios,
gym.catalog.exercise.avanco,pt,Avanço,text,Exercícios,
gym.catalog.exercise.avanco,en,Walking lunge,text,Exercícios,
gym.catalog.exercise.abducao_de_quadril_na_maquina,pt,Abdução de quadril na máquina,text,Exercícios,
gym.catalog.exercise.abducao_de_quadril_na_maquina,en,Hip abduction machine,text,Exercícios,
gym.catalog.exercise.abducao_de_quadril_deitado,pt,Abdução de quadril deitado,text,Exercícios,
gym.catalog.exercise.abducao_de_quadril_deitado,en,Side-lying hip abduction,text,Exercícios,
gym.catalog.exercise.caminhada_lateral_com_banda,pt,Caminhada lateral com banda,text,Exercícios,
gym.catalog.exercise.caminhada_lateral_com_banda,en,Banded lateral walk,text,Exercícios,
gym.catalog.exercise.concha,pt,Concha,text,Exercícios,
gym.catalog.exercise.concha,en,Clamshell,text,Exercícios,
gym.catalog.exercise.abducao_de_quadril_na_polia_em_pe,pt,Abdução de quadril na polia em pé,text,Exercícios,
gym.catalog.exercise.abducao_de_quadril_na_polia_em_pe,en,Standing cable hip abduction,text,Exercícios,
gym.catalog.exercise.prancha_com_abducao_de_perna,pt,Prancha com abdução de perna,text,Exercícios,
gym.catalog.exercise.prancha_com_abducao_de_perna,en,Plank with leg abduction,text,Exercícios,
gym.catalog.exercise.abdominal,pt,Abdominal,text,Exercícios,
gym.catalog.exercise.abdominal,en,Crunch,text,Exercícios,
gym.catalog.exercise.abdominal_na_maquina,pt,Abdominal na máquina,text,Exercícios,
gym.catalog.exercise.abdominal_na_maquina,en,Machine crunch,text,Exercícios,
gym.catalog.exercise.abdominal_na_polia,pt,Abdominal na polia,text,Exercícios,
gym.catalog.exercise.abdominal_na_polia,en,Cable crunch,text,Exercícios,
gym.catalog.exercise.sit_up,pt,Sit-up,text,Exercícios,
gym.catalog.exercise.sit_up,en,Sit-up,text,Exercícios,
gym.catalog.exercise.elevacao_de_pernas,pt,Elevação de pernas,text,Exercícios,
gym.catalog.exercise.elevacao_de_pernas,en,Leg raise,text,Exercícios,
gym.catalog.exercise.elevacao_de_joelhos_suspenso,pt,Elevação de joelhos suspenso,text,Exercícios,
gym.catalog.exercise.elevacao_de_joelhos_suspenso,en,Hanging knee raise,text,Exercícios,
gym.catalog.exercise.elevacao_de_pernas_suspenso,pt,Elevação de pernas suspenso,text,Exercícios,
gym.catalog.exercise.elevacao_de_pernas_suspenso,en,Hanging leg raise,text,Exercícios,
gym.catalog.exercise.abdominal_invertido,pt,Abdominal invertido,text,Exercícios,
gym.catalog.exercise.abdominal_invertido,en,Reverse crunch,text,Exercícios,
gym.catalog.exercise.rotacao_russa,pt,Rotação russa,text,Exercícios,
gym.catalog.exercise.rotacao_russa,en,Russian twist,text,Exercícios,
gym.catalog.exercise.prancha_lateral,pt,Prancha lateral,text,Exercícios,
gym.catalog.exercise.prancha_lateral,en,Side plank,text,Exercícios,
gym.catalog.exercise.flexao_lateral_com_haltere,pt,Flexão lateral com haltere,text,Exercícios,
gym.catalog.exercise.flexao_lateral_com_haltere,en,Dumbbell side bend,text,Exercícios,
gym.catalog.exercise.abdominal_bicicleta,pt,Abdominal bicicleta,text,Exercícios,
gym.catalog.exercise.abdominal_bicicleta,en,Bicycle crunch,text,Exercícios,
gym.catalog.exercise.lenhador_na_polia,pt,Lenhador na polia,text,Exercícios,
gym.catalog.exercise.lenhador_na_polia,en,Cable woodchopper,text,Exercícios,
gym.catalog.exercise.prancha,pt,Prancha,text,Exercícios,
gym.catalog.exercise.prancha,en,Plank,text,Exercícios,
gym.catalog.exercise.roda_abdominal,pt,Roda abdominal,text,Exercícios,
gym.catalog.exercise.roda_abdominal,en,Ab wheel rollout,text,Exercícios,
gym.catalog.exercise.escalador,pt,Escalador,text,Exercícios,
gym.catalog.exercise.escalador,en,Mountain climber,text,Exercícios,
gym.catalog.exercise.inseto_morto,pt,Inseto morto,text,Exercícios,
gym.catalog.exercise.inseto_morto,en,Dead bug,text,Exercícios,
gym.catalog.exercise.vacuum_abdominal,pt,Vacuum abdominal,text,Exercícios,
gym.catalog.exercise.vacuum_abdominal,en,Stomach vacuum,text,Exercícios,
gym.catalog.exercise.prancha_com_alcance,pt,Prancha com alcance,text,Exercícios,
